"Story","Title","Result","Date","Stability","Duration (s)"
"Dia contact database story","Scenario1 click on cancel button create contact database","SUCCESS","2016-05-27T18:07:12.813+07:00","0.0","35.78"
"Dia login story","Scenario1 login with blank client domain","SUCCESS","2016-05-27T18:08:44.508+07:00","0.0","37.02"
"Dia contact database story","Scenario2 create vaild contact database","SUCCESS","2016-05-27T18:07:48.640+07:00","0.0","54.71"
"Dia login story","Scenario2 login with blank password","SUCCESS","2016-05-27T18:09:21.534+07:00","0.0","35.6"
"Dia contact database story","Scenario3 delete contact database","PENDING","2016-05-27T18:08:43.353+07:00","0.0","0.0"
"Dia login story","Scenario3 login with blank username","SUCCESS","2016-05-27T18:09:57.134+07:00","0.0","31.58"
"Dia login story","Scenario4 login with wrong client domain","SUCCESS","2016-05-27T18:10:28.719+07:00","0.0","31.88"
"Dia login story","Scenario5 login with wrong password","SUCCESS","2016-05-27T18:11:00.607+07:00","0.0","30.25"
"Dia login story","Scenario6 login with wrong username","SUCCESS","2016-05-27T18:11:30.862+07:00","0.0","32.41"
"Dia login story","Scenario7 login with vaild credentials","SUCCESS","2016-05-27T18:12:03.275+07:00","0.0","30.46"
"Search by keyword story","Searching by ambiguious keyword should display the disambiguation page","PENDING","2016-05-27T18:12:34.345+07:00","0.0","0.0"
"Search by keyword story","Searching by keyword apple should display the corresponding article","PENDING","2016-05-27T18:12:34.346+07:00","0.0","0.0"
"Search by keyword story","Searching by keyword banana should display the corresponding article","PENDING","2016-05-27T18:12:34.344+07:00","0.0","0.0"
